simulation_id,planet,min_distance_au,hit_distance_au,hit_distance_mkm
0,Venus,0.6439207189644287,0.6684587122268446,100
0,Venus,0.6439207189644287,0.8355733902835557,125
0,Venus,0.6439207189644287,1.0026880683402668,150
0,Mars,0.14548419064312887,0.16711467805671115,25
0,Mars,0.14548419064312887,0.3342293561134223,50
0,Mars,0.14548419064312887,0.5013440341701334,75
0,Mars,0.14548419064312887,0.6684587122268446,100
0,Mars,0.14548419064312887,0.8355733902835557,125
0,Mars,0.14548419064312887,1.0026880683402668,150
1,Venus,0.6622919254219842,0.6684587122268446,100
1,Venus,0.6622919254219842,0.8355733902835557,125
1,Venus,0.6622919254219842,1.0026880683402668,150
1,Earth,0.841074724885985,1.0026880683402668,150
2,Venus,0.6550467438634524,0.6684587122268446,100
2,Venus,0.6550467438634524,0.8355733902835557,125
2,Venus,0.6550467438634524,1.0026880683402668,150
2,Earth,0.6741498960952954,0.8355733902835557,125
2,Earth,0.6741498960952954,1.0026880683402668,150
2,Mars,0.13885247340457127,0.16711467805671115,25
2,Mars,0.13885247340457127,0.3342293561134223,50
2,Mars,0.13885247340457127,0.5013440341701334,75
2,Mars,0.13885247340457127,0.6684587122268446,100
2,Mars,0.13885247340457127,0.8355733902835557,125
2,Mars,0.13885247340457127,1.0026880683402668,150
3,Earth,0.3733870522842153,0.5013440341701334,75
3,Earth,0.3733870522842153,0.6684587122268446,100
3,Earth,0.3733870522842153,0.8355733902835557,125
3,Earth,0.3733870522842153,1.0026880683402668,150
3,Mars,0.511181339451694,0.6684587122268446,100
3,Mars,0.511181339451694,0.8355733902835557,125
3,Mars,0.511181339451694,1.0026880683402668,150
3,Jupiter,0.9434589099557689,1.0026880683402668,150
4,Venus,0.638113940235391,0.6684587122268446,100
4,Venus,0.638113940235391,0.8355733902835557,125
4,Venus,0.638113940235391,1.0026880683402668,150
4,Mars,0.28867427925355765,0.3342293561134223,50
4,Mars,0.28867427925355765,0.5013440341701334,75
4,Mars,0.28867427925355765,0.6684587122268446,100
4,Mars,0.28867427925355765,0.8355733902835557,125
4,Mars,0.28867427925355765,1.0026880683402668,150
4,Saturn,0.5141695674478802,0.6684587122268446,100
4,Saturn,0.5141695674478802,0.8355733902835557,125
4,Saturn,0.5141695674478802,1.0026880683402668,150
5,Earth,0.7383121849441252,0.8355733902835557,125
5,Earth,0.7383121849441252,1.0026880683402668,150
6,Mercury,0.9912065814957305,1.0026880683402668,150
6,Earth,0.5982494480742668,0.6684587122268446,100
6,Earth,0.5982494480742668,0.8355733902835557,125
6,Earth,0.5982494480742668,1.0026880683402668,150
6,Saturn,0.8199381158879422,0.8355733902835557,125
6,Saturn,0.8199381158879422,1.0026880683402668,150
7,Mercury,0.9807409568122728,1.0026880683402668,150
7,Earth,0.5918060528584888,0.6684587122268446,100
7,Earth,0.5918060528584888,0.8355733902835557,125
7,Earth,0.5918060528584888,1.0026880683402668,150
7,Mars,0.7874195415092307,0.8355733902835557,125
7,Mars,0.7874195415092307,1.0026880683402668,150
7,Saturn,1.0003803977945223,1.0026880683402668,150
8,Mercury,0.9582974107501295,1.0026880683402668,150
8,Earth,0.8782784446440703,1.0026880683402668,150
8,Jupiter,0.578227030088974,0.6684587122268446,100
8,Jupiter,0.578227030088974,0.8355733902835557,125
8,Jupiter,0.578227030088974,1.0026880683402668,150
9,Mars,0.21870486924533758,0.3342293561134223,50
9,Mars,0.21870486924533758,0.5013440341701334,75
9,Mars,0.21870486924533758,0.6684587122268446,100
9,Mars,0.21870486924533758,0.8355733902835557,125
9,Mars,0.21870486924533758,1.0026880683402668,150
10,Venus,0.6953296933478186,0.8355733902835557,125
10,Venus,0.6953296933478186,1.0026880683402668,150
10,Mars,0.25584382344999596,0.3342293561134223,50
10,Mars,0.25584382344999596,0.5013440341701334,75
10,Mars,0.25584382344999596,0.6684587122268446,100
10,Mars,0.25584382344999596,0.8355733902835557,125
10,Mars,0.25584382344999596,1.0026880683402668,150
10,Saturn,0.4329610611498773,0.5013440341701334,75
10,Saturn,0.4329610611498773,0.6684587122268446,100
10,Saturn,0.4329610611498773,0.8355733902835557,125
10,Saturn,0.4329610611498773,1.0026880683402668,150
11,Mars,0.9132036505285004,1.0026880683402668,150
12,Earth,0.5997028745236154,0.6684587122268446,100
12,Earth,0.5997028745236154,0.8355733902835557,125
12,Earth,0.5997028745236154,1.0026880683402668,150
12,Jupiter,0.7659322918637691,0.8355733902835557,125
12,Jupiter,0.7659322918637691,1.0026880683402668,150
13,Venus,0.6653493881986162,0.6684587122268446,100
13,Venus,0.6653493881986162,0.8355733902835557,125
13,Venus,0.6653493881986162,1.0026880683402668,150
13,Mars,0.13534970422471654,0.16711467805671115,25
13,Mars,0.13534970422471654,0.3342293561134223,50
13,Mars,0.13534970422471654,0.5013440341701334,75
13,Mars,0.13534970422471654,0.6684587122268446,100
13,Mars,0.13534970422471654,0.8355733902835557,125
13,Mars,0.13534970422471654,1.0026880683402668,150
14,Venus,0.6863392851389918,0.8355733902835557,125
14,Venus,0.6863392851389918,1.0026880683402668,150
14,Earth,0.4190320530244715,0.5013440341701334,75
14,Earth,0.4190320530244715,0.6684587122268446,100
14,Earth,0.4190320530244715,0.8355733902835557,125
14,Earth,0.4190320530244715,1.0026880683402668,150
14,Jupiter,0.7703602578560296,0.8355733902835557,125
14,Jupiter,0.7703602578560296,1.0026880683402668,150
15,Mercury,0.9766323733563732,1.0026880683402668,150
15,Venus,0.6578335917165308,0.6684587122268446,100
15,Venus,0.6578335917165308,0.8355733902835557,125
